"Company","Date","Close"
"Baidu",2017-03-02,174.48
"Alibaba",2017-03-02,103.19
"Tencent(HK)",2017-03-02,206.4
"Apple",2017-03-03,139.78
"Google",2017-03-03,849.08
"Amazon",2017-03-03,849.88
"Facebook",2017-03-03,137.17
"Baidu",2017-03-03,173.79
"Alibaba",2017-03-03,103.31
"Tencent(HK)",2017-03-03,207.2
"Apple",2017-03-06,139.34
"Google",2017-03-06,847.27
"Amazon",2017-03-06,846.61
"Facebook",2017-03-06,137.42
"Baidu",2017-03-06,173.3
"Alibaba",2017-03-06,102.31
"Tencent(HK)",2017-03-06,209.2
"Apple",2017-03-07,139.52
"Google",2017-03-07,851.15
"Amazon",2017-03-07,846.02
"Facebook",2017-03-07,137.3
"Baidu",2017-03-07,173.74
"Alibaba",2017-03-07,102.63
"Tencent(HK)",2017-03-07,211.8
"Apple",2017-03-08,139
"Google",2017-03-08,853.64
"Amazon",2017-03-08,850.5
"Facebook",2017-03-08,137.72
"Baidu",2017-03-08,173.87
"Alibaba",2017-03-08,103.22
"Tencent(HK)",2017-03-08,212.2
"Apple",2017-03-09,138.68
"Google",2017-03-09,857.84
"Amazon",2017-03-09,853
"Facebook",2017-03-09,138.24
"Baidu",2017-03-09,173.32
"Alibaba",2017-03-09,103.24
"Tencent(HK)",2017-03-09,209.8
"Apple",2017-03-10,139.14
"Google",2017-03-10,861.4
"Amazon",2017-03-10,852.46
"Facebook",2017-03-10,138.79
"Baidu",2017-03-10,172.74
"Alibaba",2017-03-10,103.39
"Tencent(HK)",2017-03-10,212.4
"Apple",2017-03-13,139.2
"Google",2017-03-13,864.58
"Amazon",2017-03-13,854.59
"Facebook",2017-03-13,139.6
"Baidu",2017-03-13,173.25
"Alibaba",2017-03-13,105.18
"Tencent(HK)",2017-03-13,215.4
"Apple",2017-03-14,138.99
"Google",2017-03-14,865.91
"Amazon",2017-03-14,852.53
"Facebook",2017-03-14,139.32
"Baidu",2017-03-14,172.84
"Alibaba",2017-03-14,104.25
"Tencent(HK)",2017-03-14,214.6
"Apple",2017-03-15,140.46
"Google",2017-03-15,868.39
"Amazon",2017-03-15,852.97
"Facebook",2017-03-15,139.72
"Baidu",2017-03-15,172.04
"Alibaba",2017-03-15,103.69
"Tencent(HK)",2017-03-15,214.6
"Apple",2017-03-16,140.69
"Google",2017-03-16,870
"Amazon",2017-03-16,853.42
"Facebook",2017-03-16,139.99
"Baidu",2017-03-16,176.57
"Alibaba",2017-03-16,105.63
"Tencent(HK)",2017-03-16,220.8
"Apple",2017-03-17,139.99
"Google",2017-03-17,872.37
"Amazon",2017-03-17,852.31
"Facebook",2017-03-17,139.84
"Baidu",2017-03-17,176.62
"Alibaba",2017-03-17,105.61
"Tencent(HK)",2017-03-17,222
